Index,ADC_Value
0,265
1,265
2,265
3,265
4,265
5,265
6,344
7,265
8,344
9,344
10,296
11,344
12,296
13,296
14,296
15,296
16,266
17,296
18,266
19,266
20,248
21,266
22,248
23,248
24,248
25,248
26,236
27,248
28,236
29,236
30,226
31,236
32,226
33,226
34,226
35,226
36,220
37,220
38,220
39,220
40,213
41,220
42,213
43,213
44,204
45,213
46,204
47,204
48,204
49,204
50,204
51,204
52,204
53,204
54,200
55,204
56,200
57,200
58,200
59,200
60,196
61,200
62,196
63,196
64,196
65,196
66,196
67,196
68,196
69,196
70,195
71,196
72,195
73,195
74,196
75,195
76,196
77,196
78,196
79,196
80,199
81,196
82,199
83,199
84,202
85,199
86,202
87,202
88,202
89,202
90,212
91,212
92,212
93,212
94,225
95,212
96,225
97,225
98,249
99,225
100,249
101,249
102,249
103,249
104,284
105,249
106,284
107,284
108,324
109,284
110,324
111,324
112,324
113,324
114,370
115,324
116,370
117,370
118,416
119,370
120,416
121,416
122,416
123,416
124,464
125,416
126,464
127,464
128,508
129,464
130,508
131,508
132,508
133,508
134,511
135,508
136,511
137,511
138,511
139,511
140,511
141,511
142,511
143,511
144,511
145,511
146,511
147,511
148,511
149,511
150,511
151,511
152,508
153,511
154,508
155,508
156,508
157,508
158,457
159,508
160,457
161,457
162,408
163,457
164,408
165,408
166,408
167,408
168,368
169,408
170,368
171,368
172,322
173,368
174,322
175,322
176,322
177,322
178,284
179,322
180,284
181,284
182,257
183,284
184,257
185,257
186,257
187,257
188,241
189,257
190,241
191,241
192,229
193,241
194,229
195,229
196,229
197,229
198,216
199,216
200,216
201,216
202,213
203,216
204,213
205,213
206,208
207,213
208,208
209,208
210,208
211,208
212,203
213,208
214,203
215,203
216,198
217,203
218,198
219,198
220,198
221,198
222,197
223,198
224,197
225,197
226,194
227,197
228,194
229,194
230,194
231,194
232,195
233,194
234,195
235,195
236,191
237,195
238,191
239,191
240,191
241,191
242,194
243,191
244,194
245,194
246,197
247,194
248,197
249,197
250,197
251,197
252,203
253,203
254,203
255,203
256,213
257,203
258,213
259,213
260,228
261,213
262,228
263,228
264,228
265,228
266,249
267,228
268,249
269,249
270,294
271,249
272,294
273,294
274,294
275,294
276,337
277,294
278,337
279,337
280,382
281,337
282,382
283,382
284,382
285,382
286,429
287,382
288,429
289,429
290,479
291,429
292,479
293,479
294,479
295,479
296,511
297,479
298,511
299,511
300,511
301,511
302,511
303,511
304,511
305,511
306,511
307,511
308,511
309,511
310,511
311,511
312,511
313,511
314,511
315,511
316,511
317,511
318,511
319,511
320,490
321,511
322,490
323,490
324,444
325,490
326,444
327,444
328,444
329,444
330,396
331,444
332,396
333,396
334,352
335,396
336,352
337,352
338,352
339,352
340,313
341,352
342,313
343,313
344,273
345,313
346,273
347,273
348,273
349,273
350,251
351,273
352,251
353,251
354,238
355,251
356,238
357,238
358,238
359,238
360,228
361,228
362,228
363,228
364,218
365,228
366,218
367,218
368,211
369,218
370,211
371,211
372,211
373,211
374,206
375,211
376,206
377,206
378,202
379,206
380,202
381,202
382,202
383,202
384,197
385,202
386,197
387,197
388,194
389,197
390,194
391,194
392,194
393,194
394,191
395,194
396,191
397,191
398,191
399,191
400,191
401,191
402,191
403,191
404,190
405,191
406,190
407,190
408,194
409,190
410,194
411,194
412,194
413,194
414,195
415,195
416,195
417,195
418,205
419,195
420,205
421,205
422,216
423,205
424,216
425,216
426,216
427,216
428,235
429,216
430,235
431,235
432,266
433,235
434,266
435,266
436,266
437,266
438,305
439,266
440,305
441,305
442,350
443,305
444,350
445,350
446,350
447,350
448,439
449,350
450,439
451,439
452,442
453,439
454,442
455,442
456,442
457,442
458,489
459,442
460,489
461,489
462,511
463,489
464,511
465,511
466,511
467,511
468,511
469,511
470,511
471,511
472,511
473,511
474,511
475,511
476,511
477,511
478,511
479,511
480,511
481,511
482,511
483,511
484,511
485,511
486,462
487,511
488,462
489,462
490,462
491,462
492,427
493,462
494,427
495,427
496,386
497,427
498,386
499,386
500,386
501,386
502,345
503,386
504,345
505,345
506,300
507,345
508,300
509,300
510,300
511,300
512,268
513,300
514,268
515,268
516,247
517,268
518,247
519,247
520,247
521,247
522,232
523,232
524,232
525,232
526,223
527,232
528,223
529,223
530,217
531,223
532,217
533,217
534,217
535,217
536,209
537,217
538,209
539,209
540,204
541,209
542,204
543,204
544,204
545,204
546,200
547,204
548,200
549,200
550,196
551,200
552,196
553,196
554,196
555,196
556,193
557,196
558,193
559,193
560,191
561,193
562,191
563,191
564,191
565,191
566,191
567,191
568,191
569,191
570,191
571,191
572,191
573,191
574,191
575,191
576,194
577,194
578,194
579,194
580,196
581,194
582,196
583,196
584,207
585,196
586,207
587,207
588,207
589,207
590,219
591,207
592,219
593,219
594,242
595,219
596,242
597,242
598,242
599,242
600,277
601,242
602,277
603,277
604,317
605,277
606,317
607,317
608,317
609,317
610,362
611,317
612,362
613,362
614,408
615,362
616,408
617,408
618,408
619,408
620,454
621,408
622,454
623,454
624,502
625,454
626,502
627,502
628,502
629,502
630,511
631,511
632,511
633,511
634,511
635,511
636,511
637,511
638,511
639,511
640,511
641,511
642,511
643,511
644,511
645,511
646,511
647,511
648,510
649,511
650,510
651,510
652,510
653,510
654,464
655,510
656,464
657,464
658,416
659,464
660,416
661,416
662,416
663,416
664,372
665,416
666,372
667,372
668,331
669,372
670,331
671,331
672,331
673,331
674,290
675,331
676,290
677,290
678,261
679,290
680,261
681,261
682,261
683,261
684,242
685,242
686,242
687,242
688,231
689,242
690,231
691,231
692,221
693,231
694,221
695,221
696,221
697,221
698,213
699,221
700,213
701,213
702,205
703,213
704,205
705,205
706,205
707,205
708,203
709,205
710,203
711,203
712,198
713,203
714,198
715,198
716,198
717,198
718,194
719,198
720,194
721,194
722,194
723,194
724,194
725,194
726,194
727,194
728,190
729,194
730,190
731,190
732,189
733,190
734,189
735,189
736,189
737,189
738,193
739,193
740,193
741,193
742,194
743,193
744,194
745,194
746,201
747,194
748,201
749,201
750,201
751,201
752,210
753,201
754,210
755,210
756,224
757,210
758,224
759,224
760,224
761,224
762,264
763,224
764,264
765,264
766,287
767,264
768,287
769,287
770,287
771,287
772,329
773,287
774,329
775,329
776,371
777,329
778,371
779,371
780,371
781,371
782,422
783,371
784,422
785,422
786,465
787,422
788,465
789,465
790,465
791,465
792,511
793,511
794,511
795,511
796,511
797,511
798,511
799,511
800,511
801,511
802,511
803,511
804,511
805,511
806,511
807,511
808,511
809,511
810,511
811,511
812,511
813,511
814,511
815,511
816,496
817,511
818,496
819,496
820,449
821,496
822,449
823,449
824,449
825,449
826,404
827,449
828,404
829,404
830,359
831,404
832,359
833,359
834,359
835,359
836,318
837,359
838,318
839,318
840,282
841,318
842,282
843,282
844,282
845,282
846,254
847,254
848,254
849,254
850,239
851,254
852,239
853,239
854,228
855,239
856,228
857,228
858,228
859,228
860,219
861,228
862,219
863,219
864,213
865,219
866,213
867,213
868,213
869,213
870,206
871,213
872,206
873,206
874,202
875,206
876,202
877,202
878,202
879,202
880,198
881,202
882,198
883,198
884,191
885,198
886,191
887,191
888,191
889,191
890,191
891,191
892,191
893,191
894,189
895,191
896,189
897,189
898,189
899,189
900,191
901,191
902,191
903,191
904,193
905,191
906,193
907,193
908,197
909,193
910,197
911,197
912,197
913,197
914,208
915,197
916,208
917,208
918,213
919,208
920,213
921,213
922,213
923,213
924,231
925,213
926,231
927,231
928,266
929,231
930,266
931,266
932,266
933,266
934,300
935,266
936,300
937,300
938,342
939,300
940,342
941,342
942,342
943,342
944,419
945,342
946,419
947,419
948,433
949,419
950,433
951,433
952,433
953,433
954,488
955,488
956,488
957,488
958,511
959,488
960,511
961,511
962,511
963,511
964,511
965,511
966,511
967,511
968,511
969,511
970,511
971,511
972,511
973,511
974,511
975,511
976,511
977,511
978,511
979,511
980,511
981,511
982,486
983,511
984,486
985,486
986,486
987,486
988,436
989,486
990,436
991,436
992,390
993,436
994,390
995,390
996,390
997,390
998,347
999,390
